T;TH;DBH;X;Y;Q (Overall quality);Q1 (Outlier Probability);Q2 (Sector Occupancy);Q3 (Points Inner Circle)
T2;16.28572996;0.352547909;66.45662084;23.04081246;0;0.095238095;43.75;0
T3;16.80725096;0.434890421;61.04911872;15.93945975;1;0;62.5;0
T4;16.82297375;0.389528117;48.07486703;11.95337927;1;0;75;0
T5;16.90146411;0.349052251;59.7639976;20.98256666;0;0;50;0
T6;18.55399686;0.480756312;53.31984104;18.96743937;1;0;56.25;0
T7;19.69313452;0.672083901;54.77208544;13.97437937;1;0;62.5;0
T8;15.26536291;0.412751921;46.80575117;17.04947123;1;0;68.75;0
T11;17.06106537;0.387347479;33.49197206;13.04675685;1;0.027777778;100;0
T12;15.43778645;0.396130456;41.49453384;10.00426511;1;0;81.25;0
T13;13.63140758;0.263045706;39.96473352;14.63882724;1;0;100;0
T14;16.79284571;0.436082455;34.89820952;8.064094037;1;0;100;0
T16;12.47220057;0.26691256;20.16377647;9.206814327;1;0;100;0
T18;15.45212505;0.410601281;0.653890308;3.132383497;1;0;81.25;0
T19;14.76768665;0.402235156;21.87309726;3.951935268;1;0.03125;100;0
T20;16.34770189;0.401284714;15.3709149;1.898221875;1;0;75;0
T21;16.44327735;0.500106456;7.17649762;5.063679584;1;0;75;0
T23;14.00975989;0.426903304;-5.96970972;1.096233949;1;0;62.5;0
T24;12.2152133;0.286448267;8.762180042;0.070251049;1;0;100;0
T27;13.86123598;0.440194761;2.3661145;-1.966372159;1;0;75;0
T28;13.19222004;0.463654575;-4.240268481;-4.037546577;1;0;62.5;0
